"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"VAR","Varian Medical Systems, Inc.","124.76","0.0","11,360","36.6","0.0","1.05"
"VFC","VF Corp.","87.07","2.3","34,773","26.8","60.3","1.12"
"VIAB","Viacom, Inc.","22.75","3.5","9,177","5.6","19.7","1.01"
"VLO","Valero Energy Corp.","100.86","3.5","41,796","18.2","63.1","1.24"
"VMC","Vulcan Materials Co.","136.44","0.9","18,049","30.0","26.6","0.76"
"VNO","Vornado Realty Trust","65.77","4.0","12,552","4.2","16.6","0.64"
"VRSK","Verisk Analytics, Inc.","136.75","0.5","22,409","48.3","26.5","0.83"
"VRSN","VeriSign, Inc.","183.79","0.0","21,578","34.0","0.0","1.16"
"VRTX","Vertex Pharmaceuticals, Inc.","201.31","0.0","51,766","24.0","0.0","1.12"
"VTR","Ventas, Inc.","59.54","5.3","22,192","44.5","236.9","0.23"
"VZ","Verizon Communications, Inc.","59.35","4.1","245,458","15.2","62.2","0.34"
"WAB","Westinghouse Air Brake Technologies Corp.","78.85","0.6","15,114","57.0","34.7","1.18"
"WAT","Waters Corp.","210.08","0.0","13,536","25.7","0.0","0.94"
"WBA","Walgreens Boots Alliance, Inc.","59.24","3.0","52,874","13.7","41.2","1.01"
"WCG","WellCare Health Plans, Inc.","302.96","0.0","15,247","24.1","0.0","0.82"
"WDC","Western Digital Corp.","52.02","3.8","15,462","-9.9","-37.9","1.76"
"WEC","WEC Energy Group, Inc.","87.83","2.6","27,704","25.3","66.9","0.17"
"WELL","Welltower, Inc.","82.88","4.2","33,629","98.7","414.2","0.31"
"WFC","Wells Fargo & Co.","54.10","3.4","228,808","11.6","39.4","0.86"
"WHR","Whirlpool Corp.","154.77","3.0","9,781","9.3","28.2","1.08"
"WLTW","Willis Towers Watson Plc","185.10","1.4","23,798","27.4","37.8","0.75"
"WM","Waste Management, Inc.","111.03","1.8","47,103","26.8","48.4","0.52"
"WMB","The Williams Cos., Inc.","22.09","6.7","26,774","173.4","1,161.7","0.87"
"WMT","Walmart, Inc.","119.44","1.8","339,720","26.8","47.1","0.62"
"WRK","WestRock Co.","39.75","4.5","10,229","12.2","55.1","1.31"
"WU","The Western Union Co.","27.87","2.8","11,684","10.6","30.1","0.71"
"WY","Weyerhaeuser Co.","29.63","4.6","22,078","-146.2","-671.3","0.87"
"WYNN","Wynn Resorts Ltd.","126.47","2.8","13,610","20.2","55.9","1.77"
"XEC","Cimarex Energy Co.","46.54","1.7","4,721","9.3","15.5","1.59"
"XEL","Xcel Energy, Inc.","60.08","2.7","31,505","24.0","63.7","0.25"
"XLNX","Xilinx, Inc.","95.50","1.5","24,015","25.4","38.8","1.49"
"XOM","Exxon Mobil Corp.","70.77","4.8","299,427","20.6","98.5","0.92"
"XRAY","Dentsply Sirona, Inc.","57.42","0.6","12,872","119.0","72.6","0.71"
"XRX","Xerox Holdings Corp.","38.85","1.3","8,506","13.3","17.2","1.37"
"XYL","Xylem, Inc.","77.33","1.2","13,925","27.4","32.9","1.12"
"YUM","Yum! Brands, Inc.","98.90","1.6","30,093","26.8","43.9","0.50"
"ZBH","Zimmer Biomet Holdings, Inc.","144.00","0.7","29,565","-312.7","-208.5","0.90"
"ZION","Zions Bancorporation NA","51.07","2.4","8,700","11.3","27.5","1.03"
"ZTS","Zoetis, Inc.","117.86","0.5","56,284","41.2","21.6","0.94"
